_id,id,parcel_id,inactive,name,rentable,type,primary_user,address_number,street,zip,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
148,675071669,82-H-1-0-2,f,Highland Park Pool Grove Shelter,t,Shelter,Department of Public Works,7340.0,LAKE DR,,https://tools.wprdc.org/images/pittsburgh/facilities/Highland_Park_Pool_Grove_Shelter.jpg,Highland Park,7,11.0,42003980100,2.0,11.0,5.0,3-9,40.48299874,-79.91040035
150,1582481712,82-H-1-0-2,f,Highland Park Rhododendron Shelter,t,Shelter,Department of Public Works,7084.0,LAKE DR,15206.0,https://tools.wprdc.org/images/pittsburgh/facilities/Highland_Park_Rhododendron_Shelter.jpg,Highland Park,7,11.0,42003980100,2.0,11.0,5.0,3-9,40.47884953,-79.91046946
152,326734985,82-H-1-0-2,f,Highland Park Sycamore Grove Shelter,t,Shelter,Department of Public Works,,RESERVOIR DR,15206.0,https://tools.wprdc.org/images/pittsburgh/facilities/Highland_Park_Sycamore_Grove_Shelter.jpg,Highland Park,7,11.0,42003980100,2.0,11.0,5.0,3-9,40.48173026,-79.91293838
153,1299757694,82-H-1-0-2,f,Highland Park Tennis Court Shelter,f,Shelter,Department of Public Works,,STANTON AVE,,https://tools.wprdc.org/images/pittsburgh/facilities/Highland_Park_Tennis_Court_Shelter.jpg,Highland Park,7,11.0,42003980100,2.0,11.0,5.0,3-9,40.47397804,-79.91085763
156,257471611,23-E-106,f,Jefferson Recreation Center,f,Rec Center,CitiParks,605.0,REDKNAP ST,15214.0,https://tools.wprdc.org/images/pittsburgh/facilities/Jefferson_Recreation_Center.jpg,Central Northside,6,25.0,42003250300,1.0,25.0,1.0,1-21,40.45935482,-80.01447619
157,562322545,1221-L-128,f,Joe Natoli Field Announcers Booth,f,Activity,Department of Public Works,,PRESIDENT WAY,,https://tools.wprdc.org/images/pittsburgh/facilities/Joe_Natoli_Field_Announcers_Booth.jpg,Morningside,7,10.0,42003101400,2.0,10.0,5.0,3-7,40.48362567,-79.92620338
158,919692108,1221-L-128,f,Joe Natoli Field Batting Cage Building,f,Activity,Department of Public Works,,PRESIDENT WAY,,https://tools.wprdc.org/images/pittsburgh/facilities/Joe_Natoli_Field_Batting_Cage_Building.jpg,Morningside,7,10.0,42003101400,2.0,10.0,5.0,3-7,40.4836448,-79.92499991
160,1461822237,10-F-198,f,Josh Gibson Field 1 First Base Dugout,f,Dugout,Department of Public Works,,,,https://tools.wprdc.org/images/pittsburgh/facilities/Josh_Gibson_Field_1_First_Base_Dugout.jpg,Bedford Dwellings,6,5.0,42003050900,3.0,5.0,2.0,2-5,40.44960008,-79.97765856
161,1182113251,10-F-198,f,Josh Gibson Field 1 Third Base Dugout,f,Dugout,Department of Public Works,,,,https://tools.wprdc.org/images/pittsburgh/facilities/Josh_Gibson_Field_1_Third_Base_Dugout.jpg,Bedford Dwellings,6,5.0,42003050900,3.0,5.0,2.0,2-5,40.44944146,-79.97774995
162,876400767,10-F-198,f,Josh Gibson Field 2 First Base Dugout,f,Dugout,Department of Public Works,,,,https://tools.wprdc.org/images/pittsburgh/facilities/Josh_Gibson_Field_2_First_Base_Dugout.jpg,Bedford Dwellings,6,5.0,42003050900,3.0,5.0,2.0,2-5,40.44957424,-79.97891186
163,255358120,10-F-198,f,Josh Gibson Field 2 Third Base Dugout,f,Dugout,Department of Public Works,,,,https://tools.wprdc.org/images/pittsburgh/facilities/Josh_Gibson_Field_2_Third_Base_Dugout.jpg,Bedford Dwellings,6,5.0,42003050900,3.0,5.0,2.0,2-5,40.44975668,-79.97880552
164,1877754591,10-F-198,f,Josh Gibson Field Concession Stand,f,Concession,Department of Public Works,2201.0,BEDFORD AVE,,https://tools.wprdc.org/images/pittsburgh/facilities/Josh_Gibson_Field_Concession_Stand.jpg,Bedford Dwellings,6,5.0,42003050900,3.0,5.0,2.0,2-5,40.44926659,-79.97784023
165,1928873327,11-C-1,f,Kennard Concession Stand,f,Concession,Department of Public Works,2200.0,REED ST,,https://tools.wprdc.org/images/pittsburgh/facilities/Kennard_Concession_Stand.jpg,Terrace Village,6,5.0,42003051000,3.0,5.0,2.0,2-10,40.44319693,-79.97328697
167,1476861688,124-J-224,f,Larimer Park Shelter,f,Shelter,Department of Public Works,,LENORA ST,,https://tools.wprdc.org/images/pittsburgh/facilities/Larimer_Park_Shelter.jpg,Larimer,9,12.0,42003120400,2.0,12.0,5.0,3-12,40.46673766,-79.91329351
169,978364620,75-D-197,f,Legion Park Building,f,Shelter,Department of Public Works,3615.0,BRIGHTON RD,,https://tools.wprdc.org/images/pittsburgh/facilities/Legion_Park_Building.jpg,Brighton Heights,1,27.0,42003270100,1.0,27.0,1.0,1-14,40.48177251,-80.03430409
170,732655695,80-R-100,f,Leslie Park Concession Stand,f,Concession,Department of Public Works,,46TH ST,,https://tools.wprdc.org/images/pittsburgh/facilities/Leslie_Park_Concession_Stand.jpg,Central Lawrenceville,7,9.0,42003090200,2.0,9.0,2.0,3-3,40.47212626,-79.95749809
177,1826821013,114-K-94,f,Marmaduke Concession Stand,f,Concession,Department of Public Works,3915.0,OSWALD ST,,https://tools.wprdc.org/images/pittsburgh/facilities/Marmaduke_Concession_Stand.jpg,Brighton Heights,1,27.0,42003270100,1.0,27.0,1.0,1-14,40.48478095,-80.04307848
178,380488687,114-K-94,f,Marmaduke Deck Hockey Benches,f,Dugout,Department of Public Works,,,,https://tools.wprdc.org/images/pittsburgh/facilities/Marmaduke_Deck_Hockey_Benches.jpg,Brighton Heights,1,27.0,42003270100,1.0,27.0,1.0,1-14,40.48438681,-80.0431114
179,1388476502,27-A-183,f,Martin Luther King Cultural Center,f,Community,Department of Public Works,636.0,HERRON AVE,,https://tools.wprdc.org/images/pittsburgh/facilities/Martin_Luther_King_Cultural_Center.jpg,Upper Hill,6,5.0,42003050600,3.0,5.0,2.0,2-22,40.45209494,-79.96387834
181,1424834550,184-G-250,f,McBride Picnic Shelter 1,f,Shelter,Department of Public Works,,MCBRIDE AVE,15207.0,https://tools.wprdc.org/images/pittsburgh/facilities/McBride_Picnic_Shelter_1.jpg,Lincoln Place,5,31.0,42003310200,3.0,31.0,4.0,4-20,40.37051443,-79.90547421
182,1987524533,184-G-250,f,McBride Picnic Shelter 2,f,Shelter,Department of Public Works,,MCBRIDE AVE,,https://tools.wprdc.org/images/pittsburgh/facilities/McBride_Picnic_Shelter_2.jpg,Lincoln Place,5,31.0,42003310200,3.0,31.0,4.0,4-20,40.37023336,-79.90703895
